Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
FABACEAE,"Abarema adenophora","Barneby & J.W. Grimes",,,24
FABACEAE,"Abarema ferruginea",Pittier,,,26
FABACEAE,"Abarema jupunba","Britton & Killip",,,28
FABACEAE,"Abarema killipii","Barneby & J.W. Grimes",,,30
FABACEAE,"Abarema laeta","Barneby & J.W. Grimes",,,31
FABACEAE,"Abarema microcalyx","Barneby & J.W. Grimes",,"source: Mem. New York Bot. Gard. 74(1): 63 1996",36
MENISPERMACEAE,"Abuta grandifolia",Sandwith,,,70
FABACEAE,"Acacia glomerosa",Benth.,,,92
FABACEAE,"Acacia hayesii",Benth.,,,93
FABACEAE,"Acacia multipinnata",Ducke,,,98
FABACEAE,"Acacia polyphylla",DC.,,"source: Cat. Pl. Horti Monsp. 1813",102
FABACEAE,"Acacia tubulifera",Benth.,,,109
EUPHORBIACEAE,"Acalypha cuneata",Poepp.,,,129
EUPHORBIACEAE,"Acalypha stachyura",Pax,,,147
SANTALACEAE,"Acanthosyris annonagustata","C. Ulloa & P. Jørg.",,,165
EUPHORBIACEAE,"Acidoton nicaraguensis","G.L. Webster",,,208
MELASTOMATACEAE,"Adelobotrys klugii",Wurdack,,,288
LYTHRACEAE,"Adenaria floribunda",Kunth,,,305
LAMIACEAE,"Aegiphila alba",Moldenke,,,403
LAMIACEAE,"Aegiphila boliviana",Moldenke,,"source: Repert. Spec. Nov. Regni Veg. 1933",19545
LAMIACEAE,"Aegiphila cuneata",Moldenke,,,413
LAMIACEAE,"Aegiphila elegans",Moldenke,,,415
LAMIACEAE,"Aegiphila haughtii",Moldenke,,,418
LAMIACEAE,"Aegiphila hoehnei",Moldenke,,,419
LAMIACEAE,"Aegiphila integrifolia","B.D. Jacks.",,,421
LAMIACEAE,"Aegiphila panamensis",Moldenke,,,429
OPILIACEAE,"Agonandra peruviana",Hiepko,,,502
OPILIACEAE,"Agonandra silvatica",Ducke,,,503
RUBIACEAE,"Agouticarpa isernii","C.H. Perss.",,,510
RUBIACEAE,"Agouticarpa velutina","C.H. Perss.",,,511
LAURACEAE,"Aiouea grandifolia","van der Werff",,"source: Novon 1994",19607
LAURACEAE,"Aiouea napoensis","R. Rohde",,,541
ARECACEAE,"Aiphanes ulei",Burret,,,553
FABACEAE,"Albizia niopoides",Burkart,,,565
FABACEAE,"Albizia subdimidiata","Barneby & J.W. Grimes",,,567
EUPHORBIACEAE,"Alchornea brachygyne","Pax & K. Hoffm.",,,576
EUPHORBIACEAE,"Alchornea glandulosa",Poepp.,,,579
EUPHORBIACEAE,"Alchornea grandiflora","Müll. Arg.",,,581
EUPHORBIACEAE,"Alchornea latifolia",Sw.,,,584
EUPHORBIACEAE,"Alchornea pearcei","Britton ex Rusby",,,588
EUPHORBIACEAE,"Alchornea schomburgkii",Klotzsch,,"source: London J. Bot. 1843",589
EUPHORBIACEAE,"Alchornea triplinervia","Müll. Arg.",,,591
EUPHORBIACEAE,"Alchornea websteri",Secco,,,592
EUPHORBIACEAE,"Alchorneopsis floribunda","Müll. Arg.",,,594
RUBIACEAE,"Alibertia bertierifolia","K. Schum.",,,605
RUBIACEAE,"Alibertia edulis","A. Rich.",,,608
RUBIACEAE,"Alibertia hispida",Ducke,,,610
RUBIACEAE,"Alibertia occidentalis","Delprete & C.H. Perss.",,,614
RUBIACEAE,"Alibertia stenantha",Standl.,,,617
RUBIACEAE,"Alibertia verrucosa","S. Moore",,,618
SAPINDACEAE,"Allophylus amazonicus",Radlk.,,,638
SAPINDACEAE,"Allophylus angustatus",Radlk.,,,639
SAPINDACEAE,"Allophylus divaricatus",Radlk.,,,640
SAPINDACEAE,"Allophylus floribundus",Radlk.,,,643
SAPINDACEAE,"Allophylus incanus",Radlk.,,,644
SAPINDACEAE,"Allophylus leucoclados",Radlk.,,,645
SAPINDACEAE,"Allophylus paniculatus",Radlk.,,"source: Nat. Pflanzenfam. 1895",19651
SAPINDACEAE,"Allophylus peruvianus",Radlk.,,,648
SAPINDACEAE,"Allophylus pilosus","A.H. Gentry",,,649
SAPINDACEAE,"Allophylus punctatus",Radlk.,,,651
SAPINDACEAE,"Allophylus scrobiculatus",Radlk.,,"source: Die Natürlichen Pflanzenfamilien 3(Abt. 5): 312 1895",19654
SAPINDACEAE,"Allophylus stenodictyus",Radlk.,,,652
RUBIACEAE,"Alseis eggersii",Standl.,,,711
RUBIACEAE,"Alseis labatioides","H. Karst. ex K. Schum.",,,712
RUBIACEAE,"Alseis lugonis","L. Andersson",,,713
CYATHEACEAE,"Alsophila cuspidata","D.S. Conant",,,719
CYATHEACEAE,"Alsophila erinacea","D.S. Conant",,,721
CYATHEACEAE,"Alsophila incana","D.S. Conant",,,724
RUBIACEAE,"Amaioua guianensis",Aubl.,,,764
PHYLLANTHACEAE,"Amanoa guianensis",Aubl.,,,769
ARECACEAE,"Ammandra dasyneura",Barfod,,,799
ULMACEAE,"Ampelocera edentula",Kuhlm.,,,810
ULMACEAE,"Ampelocera longissima",Todzia,,,812
RUTACEAE,"Amyris amazonica","Cornejo & Kallunki",,,834
RUTACEAE,"Amyris macrocarpa",Gereau,,,837
ANACARDIACEAE,"Anacardium occidentale",L.,,,842
ANNONACEAE,"Anaxagorea brevipes",Benth.,,,876
ANNONACEAE,"Anaxagorea crassipetala",Hemsl.,,,877
ANNONACEAE,"Anaxagorea dolichocarpa","Sprague & Sandwith",,,878
ANNONACEAE,"Anaxagorea phaeocarpa",Mart.,,,880
FABACEAE,"Andira inermis","Kunth ex DC.",,,895
FABACEAE,"Andira macrocarpa","R.T. Penn.",,,897
FABACEAE,"Andira macrothyrsa",Ducke,,,898
FABACEAE,"Andira multistipula",Ducke,,,899
FABACEAE,"Andira surinamensis","Splitg. ex Pulle",,"source: An Enumeration of the Vascular Plants Known from Surinam 229. 1906",900
RUTACEAE,"Angostura alipes",Kallunki,,,947
LAURACEAE,"Aniba guianensis",Aubl.,,,959
LAURACEAE,"Aniba hostmanniana",Mez,,,960
LAURACEAE,"Aniba megaphylla",Mez,,,962
LAURACEAE,"Aniba panurensis",Mez,,,964
LAURACEAE,"Aniba puchury-minor",Mez,,,967
LAURACEAE,"Aniba riparia","(Nees) Mez",,,968
LAURACEAE,"Aniba taubertiana",Mez,,,970
LAURACEAE,"Aniba williamsii","O.C. Schmidt",,,972
ANNONACEAE,"Annona amazonica","R.E. Fr.",,,982
ANNONACEAE,"Annona ambotay",Aubl.,,,983
ANNONACEAE,"Annona asplundiana","R.E. Fr.",,,985
ANNONACEAE,"Annona centrantha","H. Rainer",,,986
ANNONACEAE,"Annona duckei",Diels,,,995
ANNONACEAE,"Annona edulis","H. Rainer",,,996
ANNONACEAE,"Annona hypoglauca",Mart.,,,1001
ANNONACEAE,"Annona montana",Macfad.,,,1005
ANNONACEAE,"Annona muricata",L.,,,1007
ANNONACEAE,"Annona neglecta","R.E. Fr.",,,1008
ANNONACEAE,"Annona neoecuadoarensis","H. Rainer",,,1010
CARYOCARACEAE,"Anthodiscus amazonicus","Gleason & A.C. Sm.",,,1045
CARYOCARACEAE,"Anthodiscus klugii","Standl. ex Prance",,,1046
CARYOCARACEAE,"Anthodiscus peruanus",Baill.,,,1047
EUPHORBIACEAE,"Aparisthmium cordatum",Baill.,,,1403
MALVACEAE,"Apeiba membranacea","Spruce ex Benth.",,,1406
MALVACEAE,"Apeiba tibourbou",Aubl.,,,1407
ARECACEAE,"Aphandra natalia","(Balslev & A.J.Hend.) Barfod",,,1413
OLACACEAE,"Aptandra tubicina","Benth. ex Miers",,,1462
PRIMULACEAE,"Ardisia loretensis",Lundell,,,1522
APOCYNACEAE,"Aspidosperma darienense","Woodson ex Dwyer",,,1668
APOCYNACEAE,"Aspidosperma desmanthum","Benth. ex Müll. Arg.",,,1670
APOCYNACEAE,"Aspidosperma excelsum",Benth.,,,1672
APOCYNACEAE,"Aspidosperma inundatum",Ducke,,"source: Arch. Jard. Bot. Rio de Janeiro 1922",20251
APOCYNACEAE,"Aspidosperma megalocarpon","Müll. Arg.",,,1675
APOCYNACEAE,"Aspidosperma rigidum",Rusby,,,1681
