Familia APGIV,Familia,NombreActual,Authors,NombreMemoria,CODIGO,CodigoPBDY_18,FormaPBDY_2018,Forma_2015,NumRec_2018,MinYear_2018,MaxYear_2018,UserNotes2018
,,,, 'Functional Codes',BUDS,,,,55,2000,2000,Functional code: BUDS equals buds unidentified to taxon.
,,,, 'Functional Codes',error,,,,35,2002,2017,Functional code: ERROR equals an incorrect code on data sheet which cannot be corrected because it could match more than one taxon.
,,,, 'Functional Codes',MISS,,,,2,2000,2000,Functional code: MISS equals missing.  Code probably not entered on the datasheet. 
,,,, 'Functional Codes',NADA,,,,8127,2000,2018,Functional code: NADA equals nothing found in the trap to record.
,,,, 'Functional Codes',PERDIDO,,,,1,2015,2015,Functional code: PERDIDO equals data lost.  This sometimes refers to an entire or partial census.  The station has sometimes been evacuated because of flooding or kidnapping after a census has begun or before the second of two censuses in a typical jornada (20-day work period) has started.  It rarely refers to a datasheet lost before data entry.
,,,, 'Functional Codes',ROTO,,,,158,2000,2018,Functional code: ROTO equals a trap broken.  No data collected can be collected until that trap has been repaired.
,(no identificado),(no identificado SSP1350),,(unknown SSP1350),U1350,,,-,74,2000,2011,
,Selaginellaceae,Selaginella sp.,,Selaginella sp.,SELA1_A,,,EH,7,2017,2017,Not a seed plant; reproductive parts scored as fruits &seeds & fragments.
Acanthaceae,Acanthaceae,Mendoncia hollenbergiae,Wassh.,Mendoncia sp. C,MEND_C,,,CW,135,2000,2013,Early collections possibly mixed with another species.
Acanthaceae,Acanthaceae,Mendoncia pedunculata,Leonard,Mendoncia 'rug',MENDRU,,,CW,592,2000,2017,More common of two species in Mendoncia 'rug' s.l.. Code retained.  Early collections possibly mixed.
Acanthaceae,Acanthaceae,Mendoncia 'rug',,Mendoncia sp. G,MEND_G,,,CW,47,2001,2016,Less common of two species in Mendoncia 'rug' s.l.  Temp-name retained. New code created. Early collections possibly mixed.
Acanthaceae,Acanthaceae,Mendoncia sericea,Leonard ex Wassh.,Mendonicia glomerata,MENDGL,,,CW,915,2000,2018,
Acanthaceae,Acanthaceae,Mendoncia sp. D,,Mendoncia sp. D,MEND_D,,,CW,3,2000,2006,
Acanthaceae,Acanthaceae,Mendoncia sp. H,,Mendoncia sp. H,MEND_H,,,CW,2,2001,2008,
