"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Forma_2015","FormaPBDY_2018"
"ABARJU-Abarema jupunba",11784337,"Jupunba trapezifolia","TC","T"
"ABARLA-Abarema laeta",11798059,"Jupunba laeta","TU","U"
"ABUTGL-Abuta sp. GL",7268654,"Abuta","CW",""
"ABUTGR-Abuta grandifolia",3830518,"Abuta grandifolia","SL","S"
"ABUTRU-Abuta rufescens",3830210,"Abuta rufescens","CW",""
"ABUT_D-Abuta sp. D",7268654,"Abuta","CW",""
"ABUT_E-Abuta sp. E",7268654,"Abuta","CW",""
"ACACTE-Acacia tenuifolia",2979126,"Senegalia tenuifolia","CW",""
"ACALCU-Acalypha cuneata",3056769,"Acalypha cuneata","SL","S"
"ACANAN-Acanthosyris annonagustata",3789565,"Acanthosyris annonagustata","TM","M"
"ACIDNI-Acidoton nicaraguensis",9349506,"Gitara nicaraguensis","SL","S"
"ADELSC-Adelobotrys scandens",3860497,"Adelobotrys scandens","C?",""
"ADEL_B-Adelobotrys sp. B",3860441,"Adelobotrys","CW",""
"ADENPU-Adenocalymma 'purpurascens'",10767005,"Adenocalymma","CW",""
"AECHAM-Aechmea 'amazonica'",2698292,"Aechmea chantinii","EH",""
"AEGICO-AEGIVI-Aegiphila cordifolia",8168968,"Aegiphila cordata","SL","S"
"AEGIHA-Aegiphila haughtii",3890246,"Aegiphila ulei","TU","U"
"AEGIME-Aegiphila 'memboscu'",9156446,"Aegiphila","SL","S"
"AGONGO-AGONSI-Agonandra 'gordito'",3658855,"Agonandra silvatica","TC","T"
"AGONSI-AGONPE-Agonandra silvatica",3658897,"Agonandra peruviana","TM","M"
"AGONTR-SCHPLU-Agonandra 'trespromin'",3685474,"Schoepfia lucida","TM","M"
"AIPHUL-Aiphanes ulei",2738687,"Aiphanes ulei","SL","S"
"ALC1TR-Alchornea triplinervia",3055511,"Alchornea triplinervia","TE","E"
"ALC2FL-Alchorneopsis floribunda",3055091,"Alchorneopsis floribunda","TC","T"
"ALIBNU-AGOUCU-Alibertia 'nuevadoris'",2898485,"Agouticarpa curviflora","SL","S"
"ALLOAR-ALLOAM-Allophylus 'arcorden'",7265045,"Allophylus amazonicus","TM","M"
"ALLOGL-Allophylus 'glabra'",3189992,"Allophylus","TM","M"
"ALLOPI-Allophylus pilosus",5577089,"Allophylus pilosus","TU","U"
"ALLOSC-Allophylus 'scabrid'",7264975,"Allophylus divaricatus","TM","M"
"ALSECO-Alseis 'comun'",5334883,"Alseis lugonis","TC","T"
"AMPEED-Ampelocera edentula",4160141,"Ampelocera edentula","TM","T"
"AMPELO-Ampelocera longissima",4160051,"Ampelocera longissima","TM","M"
"AMPHPA-Amphilophium paniculatum",3172589,"Amphilophium paniculatum","CW",""
"AMPH_A-Amphilophium sp. A",3172588,"Amphilophium","CW",""
"ANAXBR-Anaxagorea brevipes",3156884,"Anaxagorea brevipes","TU","U"
"ANEMCH-Anemopaegma chrysoleucum",3172463,"Anemopaegma","CW",""
"ANIBGU-Aniba guianensis",3034090,"Aniba guianensis","TC","T"
"ANIBHO-Aniba hostmanniana",4181158,"Aniba hostmanniana","TM","M"
"ANIBRI-Aniba riparia",4180474,"Aniba riparia","TM","M"
"ANNOAM-Annona ambotay",5407112,"Annona ambotay","TM","M"
"ANNOFL-ROLLFL-Rollinia 'flacaglabra'",3155252,"Annona","SL","S"
"ANNOMO-Annona 'mosaic'",3155252,"Annona","TC","T"
"ANT1_O-Anthodon sp. O",5579479,"Anthodon decussatum","CW",""
"ANTHAM-Anthodiscus amazonicus",5592414,"Anthodiscus amazonicus","TC","T"
"ANTHBO-Anthurium bonplandii",2872628,"Anthurium bonplandii","XT",""
"ANTHGR-Anthurium griseum",8023409,"Anthurium griseum","EH",""
"ANTHSI-Anthurium sinuatum",2872356,"Anthurium sinuatum","EH",""
"ANTH_D-Anthurium sp. D",2872218,"Anthurium","",""
"ANTH_H-Anthurium sp. H",2872218,"Anthurium","EH",""
"ANTH_J-Anthurium sp. J ('palmata')",2872218,"Anthurium","EH",""
"APARCO-Aparisthmium cordatum",3072468,"Aparisthmium cordatum","TM","M"
"APEIME-Apeiba menbranacea",4260481,"Apeiba membranacea","TC","T"
"APEITI-Apeiba tibourbou",3152052,"Apeiba tibourbou","TC","T"
"APO_AD-Apocynaceae sp. AD",6701,"Apocynaceae","CW",""
"APO_AQ-Apocynaceae sp. AQ",7311668,"Tassadia","CW",""
"APO_OF-Apocynaceae sp. OF",7316765,"Allomarkgrafia","CW",""
"APO_Z-Apocynaceae sp. Z",6701,"Apocynaceae","CW",""
"APTATU-Aptandra tubicina",3685770,"Aptandra tubicina","TC","T"
"APULLE-Apuleia leiocarpa",5353578,"Apuleia leiocarpa","TC","T"
"ARA_AC-Araceae sp. AC",6979,"Araceae","-",""
"ARA_PIN-Araceae spp. (partes indet. a sp.)",6979,"Araceae","-",""
"ARDISE-Ardisia 'semibulada'",3169458,"Ardisia","SL","S"
"ARIS_A-Aristolochia sp. A",2873978,"Aristolochia","CW",""
"ARIS_H-Aristolochia sp. H",2873978,"Aristolochia","CW",""
"ARIS_K-Aristolochia sp. K",2873978,"Aristolochia","CW",""
"ARIS_L-Aristolochia sp. L",2873978,"Aristolochia","CW",""
"ARIS_M-Aristolochia sp. M",2873978,"Aristolochia","CW",""
"ARRA_A-Arrabidaea sp. A",3233562,"Fridericia","CW",""
"ARRA_B-Arrabidaea sp. B",3233562,"","CW",""
"ASCL_A-Asclepiadaceae sp. A (2)",3170354,"","CW",""
"ASPIBL-Aspidosperma 'blancimpreso'",7316607,"Aspidosperma","TC","T"
"ASPIDA-Aspidosperma darienense",10398357,"Aspidosperma darienense","TC","T"
"ASPIGR-ASPIME-Aspidosperma 'grandis'",7316950,"Aspidosperma megalocarpon","TC","T"
"ASPIRI-Aspidosperma rigidum",3616924,"Aspidosperma rigidum","TC","T"
"ASPLVA-Asplundia vaupesiana",2861069,"Asplundia vaupesiana","HV",""
"ASPL_A-Asplundia sp. A",2860937,"Asplundia","HV",""
"ASPL_B-Asplundia sp. B",2860937,"Asplundia","HV",""
"ASPL_J-Asplundia sp. J",5327022,"Ludovia integrifolia","HV",""
"ASPL_L-Asplundia sp. L",2860937,"Asplundia","HV",""
"ASPL_N-Asplundia sp. N",2860937,"Asplundia","HV",""
"ASPL_S-Asplundia sp. S",2860937,"Asplundia","HV",""
"AST1CH-ASTCCH-Astrocaryum chambira",2738064,"Astrocaryum chambira","TC","T"
"AST1MU-ASTCMU-Astrocaryum murumuru",2738111,"Astrocaryum urostachys","TM","M"
"AST2CO-ASTRGR-Astronium 'comun'",7321588,"Astronium graveolens","TC","T"
"AST_B-Asteraceae sp. B",7722389,"Mikania","CW",""
"AST_C-Asteraceae sp. C",3065,"Asteraceae","CW",""
"AST_D-Asteraceae sp. D",3065,"Asteraceae","CW",""
"AST_G-Asteraceae sp. G",3065,"Asteraceae","CW",""
"AST_H-Asteraceae sp. H",3065,"Asteraceae","CW",""
"AST_Q-Asteraceae sp. Q",3065,"Asteraceae","CW",""
"AST_R-Asteraceae sp. R",3065,"Asteraceae","CW",""
"AST_S-Asteraceae sp. S",3065,"Asteraceae","CW",""
"ATTAIN-Attalea insignis cf.",2732824,"Attalea insignis","SS",""
"ATTAMA-Attalea maripa",2732686,"Attalea maripa","TC","T"
"Abarema",2977807,"Abarema","",""
"Abuta",7268654,"Abuta","",""
"Acacia",2978223,"Acacia","",""
"Acalypha",3055964,"Acalypha","",""
"Acanthaceae",2393,"Acanthaceae","",""
"Acanthosyris",7265275,"Acanthosyris","",""
"Achariaceae",3231308,"Achariaceae","",""
