"gbif_accepted_taxon_id","gbif_accepted_scientific_name"
3056833,"Acalypha stachyura"
2385,"Actinidiaceae"
3860722,"Adelobotrys klugii"
7286104,"Adenaria"
7286112,"Adenaria floribunda"
10931308,"Adolphoduckea"
11017680,"Adolphoduckea maynensis"
3893622,"Aegiphila alba"
3893437,"Aegiphila boliviana"
7308014,"Aegiphila cuneata"
7784548,"Aegiphila hoehnei"
2925468,"Aegiphila integrifolia"
3891222,"Aegiphila panamensis"
3890297,"Aegiphila triflora"
2898477,"Agouticarpa velutina"
3034063,"Aiouea"
4175896,"Aiouea grandifolia"
9671278,"Aiouea montana"
10119470,"Aiouea napoensis"
2973285,"Albizia subdimidiata"
3055354,"Alchornea discolor"
3055361,"Alchornea glandulosa"
3055553,"Alchornea grandiflora"
3055359,"Alchornea latifolia"
3055483,"Alchornea pearcei"
3055432,"Alchornea websteri"
5335641,"Alibertia bertierifolia"
5340527,"Alibertia claviflora"
5335670,"Alibertia edulis"
7972649,"Alibertia occidentalis"
5340529,"Alibertia verticillata"
3082998,"Allantoma"
4161374,"Allantoma pluriflora"
7265039,"Allophylus angustatus"
5577602,"Allophylus floribundus"
5577479,"Allophylus incanus"
5577386,"Allophylus leucoclados"
7696898,"Allophylus paniculatus"
5577109,"Allophylus peruvianus"
5577068,"Allophylus punctatus"
5576985,"Allophylus scrobiculatus"
5576928,"Allophylus stenodictyus"
5334880,"Alseis eggersii"
5334870,"Alseis labatioides"
2650312,"Alsophila"
5529620,"Alsophila cuspidata"
5530413,"Alsophila erinacea"
5529958,"Alsophila incana"
2901120,"Amaioua"
2901121,"Amaioua guianensis"
3080039,"Amanoa"
3080049,"Amanoa guianensis"
2733623,"Ammandra"
2733624,"Ammandra decasperma"
3190177,"Amyris"
8168057,"Amyris amazonica"
5594907,"Amyris macrocarpa"
5421367,"Anacardium"
5421368,"Anacardium occidentale"
3156858,"Anaxagorea crassipetala"
3156852,"Anaxagorea dolichocarpa"
3156862,"Anaxagorea phaeocarpa"
7858091,"Andira"
2952214,"Andira inermis"
3965577,"Andira macrocarpa"
2952147,"Andira macrothyrsa"
2952159,"Andira multistipula"
2952202,"Andira surinamensis"
7911749,"Angostura"
3837011,"Angostura alipes"
4180892,"Aniba megaphylla"
4180762,"Aniba panurensis"
7304533,"Aniba puchury-minor"
4180312,"Aniba taubertiana"
4180088,"Aniba williamsii"
5407080,"Annona amazonica"
5407233,"Annona asplundiana"
5541655,"Annona centrantha"
5541649,"Annona cuspidata"
5407170,"Annona duckei"
5541636,"Annona helosioides"
5541633,"Annona hispida"
5407060,"Annona hypoglauca"
5407165,"Annona montana"
5407571,"Annona mucosa"
5407273,"Annona muricata"
5407073,"Annona neglecta"
5541618,"Annona neoecuadoarensis"
5592415,"Anthodiscus klugii"
5592408,"Anthodiscus peruanus"
2738043,"Aphandra"
2738044,"Aphandra natalia"
6716,"Aquifoliaceae"
10036167,"Arawakia"
10648384,"Arawakia weddelliana"
5557652,"Ardisia loretensis"
3618792,"Aspidosperma desmanthum"
3618555,"Aspidosperma excelsum"
3618282,"Aspidosperma inundatum"
3616872,"Aspidosperma sandwithianum"
3616833,"Aspidosperma schultesii"
3616705,"Aspidosperma spruceanum"
2738136,"Astrocaryum jauari"
2732721,"Attalea butyracea"
2733315,"Bactris coloniata"
2733151,"Bactris concinna"
2733141,"Bactris setulosa"
9596304,"Balizia"
2973151,"Balizia pedicellaris"
2909696,"Bathysa"
3931406,"Bauhinia arborea"
2953235,"Bauhinia tarapotensis"
4183033,"Beilschmiedia sulcata"
6365263,"Besleria aggregata"
7323128,"Billia"
3672305,"Billia rosea"
2874862,"Bixa"
4087208,"Bixa arborea"
2874863,"Bixa orellana"
4087172,"Bixa platycarpa"
4087112,"Bixa urucurana"
6637,"Bixaceae"
8113873,"Blakea asplundii"
5600394,"Blakea glandulosa"
7273020,"Blakea hirsuta"
6634891,"Blakea hispida"
7418016,"Blakea induta"
2374,"Blechnaceae"
2651523,"Blechnum"
