"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Idlevel"
"ABARJU-Abarema jupunba",11784337,"Jupunba trapezifolia","species"
"ABARLA-Abarema laeta",11798059,"Jupunba laeta","species"
"ABUTGR-Abuta grandifolia",3830518,"Abuta grandifolia","species"
"ACALCU-Acalypha cuneata",3056769,"Acalypha cuneata","species"
"ACALPU-Acalypha pub",3055964,"Acalypha","genus"
"ACALSD-Acalypha sharpdent",3055964,"Acalypha","genus"
"ACALSH-Acalypha sharpub",3055964,"Acalypha","genus"
"ACANAN-Acanthosyris annonagustata",3789565,"Acanthosyris annonagustata","species"
"ACIDNI-Acidoton nicaraguensis",9349506,"Gitara nicaraguensis","species"
"AEGIEL-Aegiphila elegans",3892888,"Aegiphila elegans","species"
"AEGIHA-Aegiphila haughtii",3890246,"Aegiphila ulei","species"
"AEGIIN-Aegiphila integrifolia",2925468,"Aegiphila integrifolia","species"
"AEGIME-Aegiphila memboscu",9156446,"Aegiphila","genus"
"AEGIVI-Aegiphila cordata",8168968,"Aegiphila cordata","species"
"AGONPE-Agonandra peruviana",3658897,"Agonandra peruviana","species"
"AGONSI-Agonandra silvatica",3658855,"Agonandra silvatica","species"
"AGOUCU-Agouticarpa curviflora",2898485,"Agouticarpa curviflora","species"
"AGOUIS-Agouticarpa isernii",2898482,"Agouticarpa isernii","species"
"AGOUVE-Agouticarpa velutina",2898477,"Agouticarpa velutina","species"
"AIOUGR-Aiouea grandifolia",4175896,"Aiouea grandifolia","species"
"AIOUPE-Aiouea peloimpreso",3034063,"Aiouea","genus"
"AIOUPS-Aiouea pseudoclavija",3034063,"Aiouea","genus"
"AIPHUL-Aiphanes ulei",2738687,"Aiphanes ulei","species"
"ALBINI-Albizia niopoides",2973046,"Albizia niopoides","species"
"ALC1CO-Alchornea concev",3055345,"Alchornea","genus"
"ALC1GL-Alchornea glandulosa",3055361,"Alchornea glandulosa","species"
"ALC1TR-Alchornea triplinervia",3055511,"Alchornea triplinervia","species"
"ALC2FL-Alchorneopsis floribunda",3055091,"Alchorneopsis floribunda","species"
"ALIBIT-Alibertia itayensis",10716952,"Cordiera killipii","species"
"ALIBJO-Alibertia jorge",2896652,"Alibertia","genus"
"ALIBLA-Alibertia lance",2896652,"Alibertia","genus"
"ALIBPE-Alibertia pelitos",2896652,"Alibertia","genus"
"ALIBPI-Alibertia pilosa",9148947,"Cordiera pilosa","species"
"ALLOAM-Allophylus amazonicus",7265045,"Allophylus amazonicus","species"
"ALLOGL-Allophylus glabra",3189992,"Allophylus","genus"
"ALLOPI-Allophylus pilosus",5577089,"Allophylus pilosus","species"
"ALLOSC-Allophylus divaricatus",7264975,"Allophylus divaricatus","species"
"ALSECO-Alseis lugonis",5334883,"Alseis lugonis","species"
"ALSOCU-Alsophila cuspidata",5529620,"Alsophila cuspidata","species"
"AMANGU-Amanoa guianensis",3080049,"Amanoa guianensis","species"
"AMIRAM-Amyris amazonica",8168057,"Amyris amazonica","species"
"AMPEED-Ampelocera edentula",4160141,"Ampelocera edentula","species"
"AMPELO-Ampelocera longissima",4160051,"Ampelocera longissima","species"
"AMYRMA-Amyris macrocarpa",5594907,"Amyris macrocarpa","species"
"ANAXBR-Anaxagorea brevipes",3156884,"Anaxagorea brevipes","species"
"ANDIIN-Andira inermis",2952214,"Andira inermis","species"
"ANDILA-Andira largapub",7858091,"Andira","genus"
"ANDIMC-Andira macrocarpa",3965577,"Andira macrocarpa","species"
"ANDIMU-Andira multistipula",2952159,"Andira multistipula","species"
"ANIBAN-Aniba angulopepper",3034086,"Aniba","genus"
"ANIBGU-Aniba guianensis",3034090,"Aniba guianensis","species"
"ANIBHO-Aniba hostmanniana",4181158,"Aniba hostmanniana","species"
"ANIBPA-Aniba panurensis",4180762,"Aniba panurensis","species"
"ANIBRI-Aniba riparia",4180474,"Aniba riparia","species"
"ANIBTA-Aniba taubertiana",4180312,"Aniba taubertiana","species"
"ANNOAM-Annona ambotay",5407112,"Annona ambotay","species"
"ANNODU-Annona duckei",5407170,"Annona duckei","species"
"ANNOMO-Annona mosaic",3155252,"Annona","genus"
"ANTHAM-Anthodiscus amazonicus",5592414,"Anthodiscus amazonicus","species"
"APARCO-Aparisthmium cordatum",3072468,"Aparisthmium cordatum","species"
"APEIME-Apeiba membranacea",4260481,"Apeiba membranacea","species"
"APEITI-Apeiba tibourbou",3152052,"Apeiba tibourbou","species"
"APHECR-Aphelandra crispata",3779855,"Aphelandra crispata","species"
"APHEHY-Aphelandra hylaea",3778869,"Aphelandra hylaea","species"
"APTATU-Aptandra tubicina",3685770,"Aptandra tubicina","species"
"APULLE-Apuleia leiocarpa",5353578,"Apuleia leiocarpa","species"
"ARDIDE-Ardisia densapunta",3169458,"Ardisia","genus"
"ARDISE-Ardisia semibulada",3169458,"Ardisia","genus"
"ASPIBL-Aspidosperma blancimpreso",7316607,"Aspidosperma","genus"
"ASPIDA-Aspidosperma darienense",10398357,"Aspidosperma darienense","species"
"ASPIME-Aspidosperma megalocarpon",7316950,"Aspidosperma megalocarpon","species"
"ASPIRI-Aspidosperma rigidum",3616924,"Aspidosperma rigidum","species"
"ASPISP-Aspidosperma spruceanum",3616705,"Aspidosperma spruceanum","species"
"ASTCCH-Astrocaryum chambira",2738064,"Astrocaryum chambira","species"
"ASTCMU-Astrocaryum urostachys",2738111,"Astrocaryum urostachys","species"
"ASTRGR-Astronium graveolens",7321588,"Astronium graveolens","species"
"ATTAMA-Attalea maripa",2732686,"Attalea maripa","species"
"BACTCO-Bactris corossilla",2733242,"Bactris corossilla","species"
"BACTMA-Bactris maraja",2732946,"Bactris maraja","species"
"BACTSI-Bactris simplicifrons",2733215,"Bactris simplicifrons","species"
"BANANI-Banara nitida",3879623,"Banara nitida","species"
"BATOAM-Batocarpus amazonicus",3763869,"Batocarpus amazonicus","species"
"BATOCO-Batocarpus costaricensis",3763858,"Batocarpus costaricensis","species"
"BATOOR-Batocarpus orinocensis",3763838,"Batocarpus orinocensis","species"
"BAUHBR-Bauhinia brachycalyx",2953223,"Bauhinia brachycalyx","species"
"BEILPE-Beilschmiedia pendula",3034073,"Beilschmiedia pendula","species"
"BELLPE-Bellucia pentamera",3866517,"Bellucia pentamera","species"
"BERTGU-Bertiera guianensis",2908816,"Bertiera guianensis","species"
"BESLQU-Besleria quadrangulata",3824140,"Besleria quadrangulata","species"
"BESLST-Besleria stricta",3823566,"Besleria stricta","species"
"BOROCL-Borojoa claviflora",5340527,"Alibertia claviflora","species"
"BROSAC-Brosimum acutifolium",7262461,"Brosimum acutifolium","species"
"BROSGU-Brosimum guianense",7374879,"Brosimum guianense","species"
"BROSLA-Brosimum lactescens",3763127,"Brosimum lactescens","species"
"BROSPO-Brosimum potabile",3762892,"Brosimum potabile","species"
"BROSUT-Brosimum utile",8042591,"Brosimum utile","species"
"BROWGR-Brownea grandiceps",2970463,"Brownea grandiceps","species"
"BROWLO-Brownea jaramilloi",8875403,"Brownea jaramilloi","species"
"BROWRO-Brownea rosada",2970433,"Brownea","genus"
"BRUNCH-Brunfelsia chiricaspi",2932912,"Brunfelsia chiricaspi","species"
"BRUNSH-Brunfelsia grandiflora",2932917,"Brunfelsia grandiflora","species"
"BUCHCO-Buchenavia congesta",9578164,"Terminalia congesta","species"
"BUCHGR-Buchenavia grandis",9392612,"Terminalia grandis","species"
