Genus,SpeciesName,Mnemonic,Family,Authority,Idlevel
Abarema,jupunba,ABARJU,Fabaceae,(Willd.) Britton & Killip,species
Abarema,laeta,ABARLA,Fabaceae,(Benth.) Barneby & J.W. Grimes,species
Abuta,grandifolia,ABUTGR,Menispermaceae,(Mart.) Sandwith,species
Acalypha,cuneata,ACALCU,Euphorbiaceae,Poepp. & Endl.,species
Acalypha,pub,ACALPU,Euphorbiaceae,,genus
Acalypha,sharpdent,ACALSD,Euphorbiaceae,,genus
Acalypha,sharpub,ACALSH,Euphorbiaceae,,genus
Acanthosyris,annonagustata,ACANAN,Santalaceae,C. Ulloa & P. Jorg.,species
Acidoton,nicaraguensis,ACIDNI,Euphorbiaceae,(Hemsl.) G.L. Webster,species
Aegiphila,cordata,AEGIVI,Lamiaceae,Moldenke,species
Aegiphila,elegans,AEGIEL,Lamiaceae,Moldenke,species
Aegiphila,haughtii,AEGIHA,Lamiaceae,Moldenke,species
Aegiphila,integrifolia,AEGIIN,Lamiaceae,(Jacq.) B.D. Jacks.,species
Aegiphila,memboscu,AEGIME,Lamiaceae,,genus
Agonandra,peruviana,AGONPE,Opiliaceae,Hiepko,species
Agonandra,silvatica,AGONSI,Opiliaceae,Ducke,species
Agouticarpa,curviflora,AGOUCU,Rubiaceae,(Dwyer) C. Persson,species
Agouticarpa,isernii,AGOUIS,Rubiaceae,(Standl.) C. Persson,species
Agouticarpa,velutina,AGOUVE,Rubiaceae,C.H. Perss.,species
Aiouea,grandifolia,AIOUGR,Lauraceae,van der Werff,species
Aiouea,peloimpreso,AIOUPE,Lauraceae,,genus
Aiouea,pseudoclavija,AIOUPS,Lauraceae,,genus
Aiphanes,ulei,AIPHUL,Arecaceae,(Dammer) Burret,species
Albizia,niopoides,ALBINI,Fabaceae,(Spruce ex Benth.) Burkart,species
Alchornea,concev,ALC1CO,Euphorbiaceae,,genus
Alchornea,glandulosa,ALC1GL,Euphorbiaceae,Poepp.,species
Alchornea,triplinervia,ALC1TR,Euphorbiaceae,(Spreng.) M ll. Arg.,species
Alchorneopsis,floribunda,ALC2FL,Euphorbiaceae,(Benth.) M ll. Arg.,species
Alibertia,itayensis,ALIBIT,Rubiaceae,Standl.,species
Alibertia,jorge,ALIBJO,Rubiaceae,,genus
