"Genus","SpeciesName","Mnemonic","Family","Authority","Idlevel","Species","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"Abarema","jupunba","ABARJU","Fabaceae","(Willd.) Britton & Killip","species","Abarema jupunba","Jupunba trapezifolia",11784337,"ABARJU-Abarema jupunba"
"Abarema","laeta","ABARLA","Fabaceae","(Benth.) Barneby & J.W. Grimes","species","Abarema laeta","Jupunba laeta",11798059,"ABARLA-Abarema laeta"
"Abuta","grandifolia","ABUTGR","Menispermaceae","(Mart.) Sandwith","species","Abuta grandifolia","Abuta grandifolia",3830518,"ABUTGR-Abuta grandifolia"
"Acalypha","cuneata","ACALCU","Euphorbiaceae","Poepp. & Endl.","species","Acalypha cuneata","Acalypha cuneata",3056769,"ACALCU-Acalypha cuneata"
"Acanthosyris","annonagustata","ACANAN","Santalaceae","C. Ulloa & P. Jorg.","species","Acanthosyris annonagustata","Acanthosyris annonagustata",3789565,"ACANAN-Acanthosyris annonagustata"
"Acidoton","nicaraguensis","ACIDNI","Euphorbiaceae","(Hemsl.) G.L. Webster","species","Acidoton nicaraguensis","Gitara nicaraguensis",9349506,"ACIDNI-Acidoton nicaraguensis"
"Aegiphila","cordata","AEGIVI","Lamiaceae","Moldenke","species","Aegiphila cordata","Aegiphila cordata",8168968,"AEGIVI-Aegiphila cordata"
"Aegiphila","elegans","AEGIEL","Lamiaceae","Moldenke","species","Aegiphila elegans","Aegiphila elegans",3892888,"AEGIEL-Aegiphila elegans"
"Aegiphila","haughtii","AEGIHA","Lamiaceae","Moldenke","species","Aegiphila haughtii","Aegiphila ulei",3890246,"AEGIHA-Aegiphila haughtii"
"Aegiphila","integrifolia","AEGIIN","Lamiaceae","(Jacq.) B.D. Jacks.","species","Aegiphila integrifolia","Aegiphila integrifolia",2925468,"AEGIIN-Aegiphila integrifolia"
"Agonandra","peruviana","AGONPE","Opiliaceae","Hiepko","species","Agonandra peruviana","Agonandra peruviana",3658897,"AGONPE-Agonandra peruviana"
"Agonandra","silvatica","AGONSI","Opiliaceae","Ducke","species","Agonandra silvatica","Agonandra silvatica",3658855,"AGONSI-Agonandra silvatica"
"Agouticarpa","curviflora","AGOUCU","Rubiaceae","(Dwyer) C. Persson","species","Agouticarpa curviflora","Agouticarpa curviflora",2898485,"AGOUCU-Agouticarpa curviflora"
"Agouticarpa","isernii","AGOUIS","Rubiaceae","(Standl.) C. Persson","species","Agouticarpa isernii","Agouticarpa isernii",2898482,"AGOUIS-Agouticarpa isernii"
"Agouticarpa","velutina","AGOUVE","Rubiaceae","C.H. Perss.","species","Agouticarpa velutina","Agouticarpa velutina",2898477,"AGOUVE-Agouticarpa velutina"
"Aiouea","grandifolia","AIOUGR","Lauraceae","van der Werff","species","Aiouea grandifolia","Aiouea grandifolia",4175896,"AIOUGR-Aiouea grandifolia"
"Aiphanes","ulei","AIPHUL","Arecaceae","(Dammer) Burret","species","Aiphanes ulei","Aiphanes ulei",2738687,"AIPHUL-Aiphanes ulei"
"Albizia","niopoides","ALBINI","Fabaceae","(Spruce ex Benth.) Burkart","species","Albizia niopoides","Albizia niopoides",2973046,"ALBINI-Albizia niopoides"
"Alchornea","glandulosa","ALC1GL","Euphorbiaceae","Poepp.","species","Alchornea glandulosa","Alchornea glandulosa",3055361,"ALC1GL-Alchornea glandulosa"
"Alchornea","triplinervia","ALC1TR","Euphorbiaceae","(Spreng.) M ll. Arg.","species","Alchornea triplinervia","Alchornea triplinervia",3055511,"ALC1TR-Alchornea triplinervia"
"Alchorneopsis","floribunda","ALC2FL","Euphorbiaceae","(Benth.) M ll. Arg.","species","Alchorneopsis floribunda","Alchorneopsis floribunda",3055091,"ALC2FL-Alchorneopsis floribunda"
"Alibertia","itayensis","ALIBIT","Rubiaceae","Standl.","species","Alibertia itayensis","Cordiera killipii",10716952,"ALIBIT-Alibertia itayensis"
"Alibertia","pilosa","ALIBPI","Rubiaceae","K. Krause","species","Alibertia pilosa","Cordiera pilosa",9148947,"ALIBPI-Alibertia pilosa"
"Allophylus","amazonicus","ALLOAM","Sapindaceae","(Mart.) Radlk.","species","Allophylus amazonicus","Allophylus amazonicus",7265045,"ALLOAM-Allophylus amazonicus"
"Allophylus","divaricatus","ALLOSC","Sapindaceae","Radlk.","species","Allophylus divaricatus","Allophylus divaricatus",7264975,"ALLOSC-Allophylus divaricatus"
"Allophylus","pilosus","ALLOPI","Sapindaceae","(J.F. Macbr.) A.H. Gentry","species","Allophylus pilosus","Allophylus pilosus",5577089,"ALLOPI-Allophylus pilosus"
"Alseis","lugonis","ALSECO","Rubiaceae","L. Andersson","species","Alseis lugonis","Alseis lugonis",5334883,"ALSECO-Alseis lugonis"
"Alsophila","cuspidata","ALSOCU","Cyatheaceae","(Kunze) D.S. Conant","species","Alsophila cuspidata","Alsophila cuspidata",5529620,"ALSOCU-Alsophila cuspidata"
"Amanoa","guianensis","AMANGU","Phyllanthaceae","Aubl.","species","Amanoa guianensis","Amanoa guianensis",3080049,"AMANGU-Amanoa guianensis"
"Ampelocera","edentula","AMPEED","Ulmaceae","Kuhlm.","species","Ampelocera edentula","Ampelocera edentula",4160141,"AMPEED-Ampelocera edentula"
"Ampelocera","longissima","AMPELO","Ulmaceae","Todzia","species","Ampelocera longissima","Ampelocera longissima",4160051,"AMPELO-Ampelocera longissima"
"Amyris","amazonica","AMIRAM","Rutaceae","X. Cornejo & J. Kallunki","species","Amyris amazonica","Amyris amazonica",8168057,"AMIRAM-Amyris amazonica"
"Amyris","macrocarpa","AMYRMA","Rutaceae","Gereau","species","Amyris macrocarpa","Amyris macrocarpa",5594907,"AMYRMA-Amyris macrocarpa"
"Anaxagorea","brevipes","ANAXBR","Annonaceae","Benth.","species","Anaxagorea brevipes","Anaxagorea brevipes",3156884,"ANAXBR-Anaxagorea brevipes"
"Andira","inermis","ANDIIN","Fabaceae","(W. Wright) DC.","species","Andira inermis","Andira inermis",2952214,"ANDIIN-Andira inermis"
"Andira","macrocarpa","ANDIMC","Fabaceae","R.T. Penn.","species","Andira macrocarpa","Andira macrocarpa",3965577,"ANDIMC-Andira macrocarpa"
"Andira","multistipula","ANDIMU","Fabaceae","Ducke","species","Andira multistipula","Andira multistipula",2952159,"ANDIMU-Andira multistipula"
"Aniba","guianensis","ANIBGU","Lauraceae","Aubl.","species","Aniba guianensis","Aniba guianensis",3034090,"ANIBGU-Aniba guianensis"
"Aniba","hostmanniana","ANIBHO","Lauraceae","(Nees) Mez","species","Aniba hostmanniana","Aniba hostmanniana",4181158,"ANIBHO-Aniba hostmanniana"
"Aniba","panurensis","ANIBPA","Lauraceae","(Meisn.) Mez","species","Aniba panurensis","Aniba panurensis",4180762,"ANIBPA-Aniba panurensis"
"Aniba","riparia","ANIBRI","Lauraceae","(Nees) Mez","species","Aniba riparia","Aniba riparia",4180474,"ANIBRI-Aniba riparia"
"Aniba","taubertiana","ANIBTA","Lauraceae","Mez","species","Aniba taubertiana","Aniba taubertiana",4180312,"ANIBTA-Aniba taubertiana"
